2026/04/29 03:55:27 [error] 243662#243662: *2052 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:12 [error] 243662#243662: *2064 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:12 [error] 243662#243662: *2066 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:13 [error] 243662#243662: *2068 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:13 [error] 243662#243662: *2070 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:14 [error] 243662#243662: *2072 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:14 [error] 243662#243662: *2074 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:14 [error] 243662#243662: *2076 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:14 [error] 243662#243662: *2078 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:14 [error] 243662#243662: *2080 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:15 [error] 243662#243662: *2082 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:15 [error] 243662#243662: *2084 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:15 [error] 243662#243662: *2086 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:15 [error] 243662#243662: *2088 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:19 [error] 243662#243662: *2090 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:19 [error] 243662#243662: *2092 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:22 [error] 243662#243662: *2094 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:22 [error] 243662#243662: *2096 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:23 [error] 243662#243662: *2098 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:23 [error] 243662#243662: *2100 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:23 [error] 243662#243662: *2102 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:23 [error] 243662#243662: *2104 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:23 [error] 243662#243662: *2106 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:23 [error] 243662#243662: *2108 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:27 [error] 243662#243662: *2110 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:27 [error] 243662#243662: *2112 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:30 [error] 243662#243662: *2114 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:11:30 [error] 243662#243662: *2116 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:29:33 [emerg] 2#2: socket() 0.0.0.0:8080 failed (1: Operation not permitted)
2026/04/29 04:33:29 [error] 662653#662653: *2153 connect() failed (111: Connection refused) while connecting to upstream, client: 127.0.0.1, server: localhost, request: "GET /api/public/feed?limit=100 HTTP/1.1", upstream: "http://127.0.0.1:8083/api/public/feed?limit=100", host: "localhost:8080", referrer: "http://localhost:3001/"
2026/04/29 04:34:27 [error] 662653#662653: *2155 recv() failed (104: Connection reset by peer) while reading response header from upstream, client: 127.0.0.1, server: localhost, request: "GET /api/auth/me HTTP/1.1", upstream: "http://127.0.0.1:8085/api/auth/me", host: "localhost:8080", referrer: "http://localhost:3001/"
